Altium Designer Pick and Place Locations
C:\Users\andgulsan\AppData\Local\Temp\Releases\Snapshot\1\Assembly ZUM_Core_2.0\ZUM_Core_ASY\Pick Place\Pick Place for ZUM_Core(ZUM_Core_2.0).txt

========================================================================================================================
File Design Information:

Date:       01/06/18
Time:       10:07
Revision:   468
Variant:    ZUM_Core_2.0
Units used: mm

Designator Comment                         Layer    Footprint                     Center-X(mm) Center-Y(mm) Rotation Description                                                         
J13        "CON_PH_THT2.54_6 Red"          TopLayer 1x6_Pin_Header_2.54           53.3400      9.5250       360      Connector                                                           
J12        "CON_PH_THT2.54_6 Blue"         TopLayer 1x6_Pin_Header_2.54           53.3400      12.0650      360      Connector                                                           
J9         CON_SH_THT2.54_6                TopLayer 1x6_Socket_Header_THT_2.54mm  57.1500      2.5400       360      Connector                                                           
J10        CON_DPH_THT2.54_6               TopLayer 2x3_Pin_Header_2.54           64.8970      27.9400      270      Connector                                                           
J5         CON_SH_THT2.54_8                TopLayer 1x8_Socket_Header_THT_2.54mm  54.6100      50.8000      180      Connector                                                           
J11        CON_SH_THT2.54_8                TopLayer 1x8_Socket_Header_THT_2.54mm  36.8300      2.5400       360      Connector                                                           
J1         "Micro USB Type B W/ Rear Pegs" TopLayer USB_B_W_REAR_PEGS             2.8000       25.4170      270      "Micro USB Type B W/ Rear Pegs"                                     
F2         "USB ESD Single"                TopLayer SOT563                        9.2750       25.8500      180      "TVS Diode Array"                                                   
F1         "FUSE 2.6A 16V"                 TopLayer F1812                         9.8250       17.2800      360      "Resettable Fuses"                                                  
D4         HSMG-C190                       TopLayer LED0603                       19.3750      44.7250      180      LED                                                                 
D1         BAT54S                          TopLayer SOT23-3                       37.3357      29.3098      0        "Schottky Diode"                                                    
C14        C0402_2.2uF_16V_±20%            TopLayer C0402                         34.9843      28.0250      90       C0402_2.2uF_16V_±20%_X5R                                            
C13        C0805_4700pF_250V_±10%_X7R      TopLayer C0805                         9.8500       22.6750      0        C0805_4700pF_250V_±10%_X7R                                          
C12        C0402_47pF_16V_±10%             TopLayer C0402                         11.2250      24.6500      90       C0402_47pF_16V_±10%                                                 
C11        C0402_47pF_16V_±10%             TopLayer C0402                         11.3000      26.8000      270      C0402_47pF_16V_±10%                                                 
C9         C0402_2.2uF_16V_±20%            TopLayer C0402                         16.2250      21.4300      360      C0402_2.2uF_16V_±20%_X5R                                            
C6         C0402_2.2uF_16V_±20%            TopLayer C0402                         12.1750      21.4000      90       C0402_2.2uF_16V_±20%_X5R                                            
C21        C0603_100nF_50V_±10%_X7R        TopLayer C0603                         19.5250      39.8250      90       C0603_100nF_50V_±10%_X7R                                            
C20        C0603_100nF_50V_±10%_X7R        TopLayer C0603                         13.9500      32.6750      90       C0603_100nF_50V_±10%_X7R                                            
C17        C0603_100nF_50V_±10%_X7R        TopLayer C0603                         28.6250      34.1000      360      C0603_100nF_50V_±10%_X7R                                            
C24        C0402_12pF_16V_±10%             TopLayer C0402                         12.2500      33.3750      360      C0402_12pF_16V_±10%                                                 
C10        C0603_100nF_50V_±10%_X7R        TopLayer C0603                         14.0500      21.4300      180      C0603_100nF_50V_±10%_X7R                                            
C19        C0402_47nF_16V_±10%             TopLayer C0402                         10.3000      41.3250      270      C0402_47nF_16V_±10%                                                 
C7         C0603_100nF_50V_±10%_X7R        TopLayer C0603                         13.6250      29.5500      90       C0603_100nF_50V_±10%_X7R                                            
C5         C0402_2.2uF_16V_±20%            TopLayer C0402                         49.6250      22.1750      135      C0402_2.2uF_16V_±20%_X5R                                            
C4         C0402_2.2uF_16V_±20%            TopLayer C0402                         58.9000      31.5750      315      C0402_2.2uF_16V_±20%_X5R                                            
C3         C0402_2.2uF_16V_±20%            TopLayer C0402                         48.1750      23.6250      135      C0402_2.2uF_16V_±20%_X5R                                            
C2         C0603_100nF_50V_±10%_X7R        TopLayer C0603                         58.1318      30.4578      315      C0603_100nF_50V_±10%_X7R                                            
C1         C0603_100nF_50V_±10%_X7R        TopLayer C0603                         47.3750      22.5750      135      C0603_100nF_50V_±10%_X7R                                            
Y2         "Crystal 16 MHz"                TopLayer ABM8G_3.2x2.5mm               9.0000       33.5750      180      "Crystal 16 MHz"                                                    
L1         L0603_120R_0,025R_3000mA        TopLayer L0603                         14.9250      29.5500      270      L0603_120R_0,025R_3000mA                                            
J4         CON_PH_THT2.54_8                TopLayer 1x8_Pin_Header_2.54           32.7660      46.3550      360      Connector                                                           
Q1         DMP2035U                        TopLayer SOT23-3                       35.2500      18.3750      90       "P-MOSFET transistor"                                               
L3         2,2uH_6,3A                      TopLayer SRN8040                       37.8200      10.7800      180      "Semi-shielded power inductor"                                      
C15        C0603_1uF_25V_±10%              TopLayer C0603                         27.2500      7.6750       270      ""                                                                  
C16        C1206_22uF_25V_±10%             TopLayer C1206                         23.7400      10.2300      90       ""                                                                  
C26        C0603_100nF_50V_±10%_X7R        TopLayer C0603                         26.4250      12.4000      180      C0603_100nF_50V_±10%_X7R                                            
C27        C1206_22uF_25V_±10%             TopLayer C1206                         30.3500      14.6250      360      ""                                                                  
C28        C1206_22uF_25V_±10%             TopLayer C1206                         30.3500      12.0191      360      ""                                                                  
R13        R0402_75k_0.063W_±1%            TopLayer R0402                         30.8006      8.6443       270      R0402_75k_0.063W_±1%                                                
R17        R0402_10k_0.063W_±5%            TopLayer R0402                         31.7676      7.0083       180      R0402_10k_0.063W_±5%                                                
U3         MP1477H                         TopLayer SOT-563_-_MP1477H             29.0000      8.6250       270      "DCDC Step Down Vout= 1-5V; Vin= 12-17V"                            
J7         "CON_PH_THT2.54_6 Red"          TopLayer 1x8_Header_2.54_(3D_Mod)      54.6100      43.8150      360      Connector                                                           
J6         "CON_PH_THT2.54_6 Natural"      TopLayer 1x8_Header_2.54_(3D_Mod)      54.6100      41.2750      360      Connector                                                           
J8         CON_PH_THT2.54_6                TopLayer 1x8_Header_2.54_(3D_Mod)      54.6100      46.3550      360      Connector                                                           
J15        CON_SH_THT2.54_10               TopLayer 1x10_Socket_Header_THT_2.54mm 30.2260      50.8000      180      Connector                                                           
D3         HSMG-C190                       TopLayer LED0603                       4.3324       17.4485      90       LED                                                                 
R18        R0402_330R_0.063W_±5%           TopLayer R0402                         4.2783       16.1178      360      R0402_330R_0.063W_±5%                                               
R19        R0402_100k_0.063W_±1%           TopLayer R0402                         36.8607      26.6500      180      ""                                                                  
R20        R0402_330R_0.063W_±5%           TopLayer R0402                         34.9843      30.2500      90       R0402_330R_0.063W_±5%                                               
R2         R0402_1k_0.063W_±5%             TopLayer R0402                         17.7100      21.9050      90       R0402_1k_0.063W_±5%                                                 
